Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,0.999167203903,0.000148850609548,131.512728044,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999111175537,0.000148931590957,131.574031557,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999129652977,0.000148945706314,131.635335069,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999044418335,0.000149041356053,131.69663868,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999307751656,0.000148953200551,131.75794219,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999880075455,0.000149041094119,131.819245699,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999966621399,0.000149016836076,131.880549107,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999577105045,0.000149034705828,131.941852614,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00397491455,0.000149694111315,132.00315612,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00000596046,0.000149033425259,132.064459625,0.0042,4.08,13.73,0.9,5708.0
1.0,0.999849438667,0.00014903266856,132.125763128,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00012421608,0.000149086379679,132.187066631,0.0042,4.08,13.73,0.9,5708.0
1.0,1.0005068779,0.000149075989611,132.248370033,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00019681454,0.000148982173414,132.309673534,0.0042,4.08,13.73,0.9,5708.0
1.0,1.0004080534,0.000149139523273,132.370977034,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00052309036,0.000149030456669,132.432280532,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00024271011,0.000149015657371,132.49358403,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00045311451,0.000148966268171,132.554887527,0.0042,4.08,13.73,0.9,5708.0
1.0,1.0008803606,0.000149148341734,132.616191023,0.0042,4.08,13.73,0.9,5708.0
1.0,1.0008020401,0.000149100917042,132.677494417,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00074791908,0.000149078172399,132.738797911,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00096392632,0.000149017796502,132.800101403,0.0042,4.08,13.73,0.9,5708.0
1.0,1.00088810921,0.000149044702994,132.861404895,0.0042,4.08,13.73,0.9,5708.0
