Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,1.00282466412,0.000275857979432,131.512440129,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00222635269,0.000275843049167,131.57374369,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00235319138,0.000276211067103,131.63504725,0.00253,4.7,24.68,0.53,4347.0
1.0,1.0024381876,0.000276471022516,131.69635091,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00269699097,0.000276390841464,131.75765447,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00230145454,0.000276126695098,131.818958028,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00220489502,0.000276291015325,131.880261486,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00287020206,0.000276503822533,131.941565043,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00266695023,0.000276353239315,132.002868599,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00178909302,0.000276317092357,132.064172155,0.00253,4.7,24.68,0.53,4347.0
1.0,1.0020377636,0.000276353297522,132.12547571,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00229156017,0.000276456150459,132.186779264,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00207054615,0.000276441045571,132.248082718,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00221467018,0.00027645524824,132.30938627,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00182151794,0.00027654870064,132.370689822,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00204098225,0.000276460166788,132.431993374,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00208950043,0.000276412232779,132.493296924,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00158667564,0.000276453036349,132.554600474,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00187027454,0.000276585749816,132.615904023,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00162923336,0.000276510807453,132.677207471,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00134599209,0.00027652841527,132.738511019,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00165450573,0.000276141712675,132.799814566,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00159394741,0.000276366772596,132.861118112,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00094056129,0.000276464474155,132.922421657,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00103652477,0.000276535836747,132.983725302,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00083100796,0.000276386796031,133.045028745,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00103902817,0.000276625563856,133.106332288,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00128853321,0.000276661507087,133.167635831,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00128984451,0.000276778213447,133.228939372,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00083196163,0.000276562728686,133.290242913,0.00253,4.7,24.68,0.53,4347.0
1.0,1.0004067421,0.000276651437161,133.351546453,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00057399273,0.000276623206446,133.412849992,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00046515465,0.000276665115962,133.474153431,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00068688393,0.000276717473753,133.535456968,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00026917458,0.000276548555121,133.596760505,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00030851364,0.000276728300378,133.658064141,0.00253,4.7,24.68,0.53,4347.0
1.0,1.00015103817,0.000276800798019,133.719367676,0.00253,4.7,24.68,0.53,4347.0
1.0,1.0000371933,0.000276827282505,133.780671211,0.00253,4.7,24.68,0.53,4347.0
1.0,1.0000923872,0.000276796083199,133.841974644,0.00253,4.7,24.68,0.53,4347.0
