Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,1.01439130306,0.000290859286906,131.512712686,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01481211185,0.000291072006803,131.574016218,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01439607143,0.00029106909642,131.635319748,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01506721973,0.000291308970191,131.696623378,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01509034634,0.000291112111881,131.757926906,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01559841633,0.000291260017548,131.819230434,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.0155197382,0.000291247153655,131.88053386,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01595807076,0.00029130501207,131.941837386,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.0147036314,0.000291177333565,132.00314091,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01523530483,0.000291203003144,132.064444434,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01504826546,0.000291204429232,132.125747956,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01497507095,0.000291268428555,132.187051478,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01523625851,0.000291229516733,132.248354898,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01580941677,0.00029118891689,132.309658418,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01583385468,0.000291422678856,132.370961936,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01558816433,0.00029117113445,132.432265454,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01517808437,0.000291141972411,132.49356897,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01556432247,0.00029105329304,132.554872486,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01518917084,0.000291339994874,132.616176,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01450324059,0.000291196192848,132.677479414,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01508975029,0.000291188072879,132.738782926,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01554203033,0.0002910985786,132.800086437,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01524984837,0.000291135715088,132.861389948,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01481115818,0.000291205622489,132.922693457,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.0146958828,0.000291221571388,132.983997065,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01477468014,0.00029112782795,133.045300472,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01493346691,0.000291356554953,133.106603979,0.0050569774,4.64,21.8051134569,0.646,4703
1.0,1.01418948174,0.000291345553705,133.167907484,0.0050569774,4.64,21.8051134569,0.646,4703
