Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,1.00124180317,0.000111294255476,131.511663383,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00182390213,0.000111333254608,131.572966762,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00218069553,0.000111358516733,131.634270141,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00259447098,0.000111386449134,131.695573619,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00316762924,0.000111368441139,131.756876998,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00347471237,0.000111388697405,131.818180377,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00399076939,0.000111403816845,131.879483656,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00425112247,0.000111406145152,131.940787035,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00468850136,0.000111447341624,132.002090414,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00505673885,0.000111510438728,132.063393793,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00537800789,0.000111497589387,132.124697172,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00631868839,0.000111470646516,132.186000552,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00660336018,0.000111483859655,132.247303831,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00707638264,0.000111538931378,132.30860721,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00745308399,0.000111549299618,132.369910589,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00797843933,0.000111562294478,132.431213969,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00845849514,0.000111555600597,132.492517348,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00900328159,0.00011161105067,132.553820727,0.00791,4.63,16.18,0.78,5227.0
1.0,1.00906944275,0.000111650617328,132.615124107,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01009643078,0.000111636923975,132.676427386,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01027393341,0.000111632245535,132.737730765,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01067221165,0.000111584922706,132.799034145,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01087725163,0.000111629982712,132.860337524,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01126992702,0.000111637426016,132.921640903,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01166498661,0.000111671863124,132.982944383,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01199245453,0.000111665649456,133.044247662,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01257145405,0.000111753965029,133.105551042,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01291036606,0.000111768982606,133.166854421,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01322603226,0.00011180119327,133.228157801,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01342070103,0.000111797962745,133.28946118,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01380348206,0.000111868721433,133.350764559,0.00791,4.63,16.18,0.78,5227.0
1.0,1.0141428709,0.000111872366688,133.412067939,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01441717148,0.000111878645839,133.473371218,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01450848579,0.00011187884229,133.534674597,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01467490196,0.00011188359349,133.595977977,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01515614986,0.000111893517897,133.657281456,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01574409008,0.000111929111881,133.718584835,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01515436172,0.000111935667519,133.779888214,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01529872417,0.000111908622785,133.841191493,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01548957825,0.000111916400783,133.902494873,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01554405689,0.000111939436465,133.963798252,0.00791,4.63,16.18,0.78,5227.0
1.0,1.0160895586,0.000111947840196,134.025101631,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01617789268,0.000111973975436,134.08640501,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01609146595,0.000111967950943,134.147708389,0.00791,4.63,16.18,0.78,5227.0
1.0,1.0161190033,0.000111968780402,134.209011768,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01643764973,0.000111978835776,134.270315046,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01641154289,0.000111969762656,134.331618425,0.00791,4.63,16.18,0.78,5227.0
1.0,1.0163782835,0.000111974841275,134.413356264,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01653838158,0.000111949870188,134.474659642,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01658213139,0.000111952984298,134.535963021,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01704192162,0.000111871348054,134.597266399,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01681113243,0.000111901412311,134.658569778,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01678907871,0.000111906432721,134.719873156,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01665687561,0.000111959707283,134.781176435,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01663970947,0.000111981928058,134.842479813,0.00791,4.63,16.18,0.78,5227.0
1.0,1.0166888237,0.00011198122229,134.903783291,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01631140709,0.000111986228148,134.965086669,0.00791,4.63,16.18,0.78,5227.0
1.0,1.0163885355,0.00011199209257,135.026390047,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01624631882,0.000111992994789,135.087693425,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01610982418,0.000111980996735,135.148996803,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01572167873,0.00011197431013,135.210300081,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01542901993,0.00011196428386,135.271603458,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01537394524,0.000111968394776,135.332906836,0.00791,4.63,16.18,0.78,5227.0
1.0,1.01498258114,0.000111957560875,135.394210213,0.00791,4.63,16.18,0.78,5227.0
