Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,0.990528762341,0.000125158228911,131.511744138,0.00498,4.14,7.15,1.19,5812.0
1.0,0.990656554699,0.000125214908621,131.573047417,0.00498,4.14,7.15,1.19,5812.0
1.0,0.991344451904,0.000125350183225,131.634350696,0.00498,4.14,7.15,1.19,5812.0
1.0,0.991571426392,0.000125397695228,131.695654075,0.00498,4.14,7.15,1.19,5812.0
1.0,0.992154836655,0.000125399252283,131.756957355,0.00498,4.14,7.15,1.19,5812.0
1.0,0.992568612099,0.000125357822981,131.818260634,0.00498,4.14,7.15,1.19,5812.0
1.0,0.99318087101,0.000125478065456,131.879563813,0.00498,4.14,7.15,1.19,5812.0
1.0,0.993409276009,0.00012549632811,131.940867092,0.00498,4.14,7.15,1.19,5812.0
1.0,0.994231760502,0.000125508217025,132.002170371,0.00498,4.14,7.15,1.19,5812.0
1.0,0.994804024696,0.000125508726342,132.06347365,0.00498,4.14,7.15,1.19,5812.0
1.0,0.995638847351,0.000125578750158,132.124776929,0.00498,4.14,7.15,1.19,5812.0
1.0,0.996117591858,0.000125587568618,132.186080208,0.00498,4.14,7.15,1.19,5812.0
1.0,0.996623575687,0.000125619000755,132.247383387,0.00498,4.14,7.15,1.19,5812.0
1.0,0.997761428356,0.000125676684547,132.308686665,0.00498,4.14,7.15,1.19,5812.0
1.0,0.998580336571,0.000125762453536,132.369989944,0.00498,4.14,7.15,1.19,5812.0
1.0,0.999026954174,0.000125779944938,132.431293223,0.00498,4.14,7.15,1.19,5812.0
1.0,0.999873280525,0.000125749065774,132.492596502,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00081396103,0.00012581142073,132.553899781,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00159561634,0.000125938298879,132.615203059,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00256919861,0.000125953316456,132.676506238,0.00498,4.14,7.15,1.19,5812.0
1.0,1.0031992197,0.000125979117001,132.737809517,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00375521183,0.000125960039441,132.799112795,0.00498,4.14,7.15,1.19,5812.0
1.0,1.0045684576,0.000125979815493,132.860416074,0.00498,4.14,7.15,1.19,5812.0
1.0,1.0050829649,0.000125994993141,132.921719352,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00530743599,0.000126074737636,132.983022731,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00515449047,0.000126015380374,133.044325909,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00511944294,0.000126019949676,133.105629188,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00616800785,0.000126157654449,133.166932466,0.00498,4.14,7.15,1.19,5812.0
1.0,1.0066972971,0.000126164624817,133.228235744,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00705480576,0.000126184648252,133.289539022,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00708377361,0.000126104569063,133.3508423,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00691783428,0.000126177474158,133.412145578,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00684845448,0.000126126789837,133.473448756,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00708723068,0.000126130980789,133.534752034,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00681900978,0.000126144295791,133.596055312,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00641727448,0.000126131228171,133.657358689,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00626206398,0.000126155442558,133.718661967,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00577878952,0.000126100087073,133.779965245,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00569427013,0.000126098413602,133.841268422,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00513505936,0.000126115381136,133.902571699,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00470530987,0.000126086888486,133.963874977,0.00498,4.14,7.15,1.19,5812.0
1.0,1.0041437149,0.000126058017486,134.025178254,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00224912167,0.00012601223716,134.086481531,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00342679024,0.000126059734612,134.147784808,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00275039673,0.000126044018543,134.209088085,0.00498,4.14,7.15,1.19,5812.0
1.0,1.00251102448,0.000125990161905,134.270391261,0.00498,4.14,7.15,1.19,5812.0
