Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,1.01238799095,0.000314387929393,131.512534373,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01234221458,0.000314392760629,131.573837761,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01273262501,0.000314565259032,131.635141147,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01167571545,0.000314541714033,131.696444633,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01253259182,0.000314629258355,131.757748018,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.0122487545,0.000314517732477,131.819051402,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01254737377,0.000314419856295,131.880354686,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01243066788,0.000314603443258,131.941658069,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01220774651,0.00031449412927,132.002961451,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01265358925,0.00031458993908,132.064264832,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01285266876,0.00031449861126,132.125568212,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01278197765,0.00031461645267,132.186871591,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01273036003,0.000314431585139,132.24817487,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.0130314827,0.000314544449793,132.309478247,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01320362091,0.000314625969622,132.370781624,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01374328136,0.00031464319909,132.432085,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01329159737,0.000314687058562,132.493388376,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01329946518,0.000314659962896,132.55469175,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.0135037899,0.000314787816023,132.615995124,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01410317421,0.000314816163154,132.677298396,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01394021511,0.000314750970574,132.738601768,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01396298409,0.000314372067805,132.799905139,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01429104805,0.000314627191983,132.861208509,0.0057946095,4.45,17.4998681559,0.94,5707
1.0,1.01406025887,0.000314923468977,132.922511879,0.0057946095,4.45,17.4998681559,0.94,5707
