Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,0.996803879738,0.000163745644386,131.51240688,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996572256088,0.000163665696164,131.573709724,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996758520603,0.000163720120327,131.635012567,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996145546436,0.000163670134498,131.69631551,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996678411961,0.000163644028362,131.757618352,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996740281582,0.000163690026966,131.818921193,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996721863747,0.00016370920639,131.880223934,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996264338493,0.000163710617926,131.941526773,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996648609638,0.00016375000996,132.002829613,0.00177,4.56,23.07,0.72,5070.0
1.0,0.99647963047,0.000163802178577,132.064132451,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996961653233,0.000163762117154,132.125435289,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996270954609,0.000163643155247,132.186738126,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996341645718,0.000163580392837,132.248040862,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996901214123,0.000163771401276,132.309343698,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996739804745,0.000163806849741,132.370646533,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996430695057,0.000163733042427,132.431949367,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996649026871,0.000163739488926,132.493252201,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996728241444,0.000163833916304,132.554555033,0.00177,4.56,23.07,0.72,5070.0
1.0,0.99690502882,0.000163817894645,132.615857865,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996936023235,0.000163777440321,132.677160597,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996924459934,0.000163829055964,132.738463427,0.00177,4.56,23.07,0.72,5070.0
1.0,0.9965082407,0.000163658914971,132.799766257,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996697366238,0.000163686141605,132.861069086,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996937870979,0.000163677206729,132.922371915,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996574580669,0.000163721502759,132.983674842,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996920406818,0.000163786055055,133.044977569,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996942520142,0.000163807475474,133.106280395,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997158825397,0.000163819975569,133.167583221,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996613621712,0.000163851887919,133.228886046,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996934771538,0.000163849443197,133.29018887,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997263610363,0.000163926393725,133.351491693,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996986210346,0.000163832577528,133.412794515,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996932864189,0.000163847013027,133.474097237,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997136771679,0.000163927747053,133.535400058,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997140109539,0.000163830103702,133.596702878,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997026622295,0.000163853750564,133.658005798,0.00177,4.56,23.07,0.72,5070.0
1.0,0.996946692467,0.000163834716659,133.719308616,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997343242168,0.000163978940691,133.780611434,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997247993946,0.000163877688465,133.841914151,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997210085392,0.000163831282407,133.903216968,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997547626495,0.000163904376677,133.964519783,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997629463673,0.000163854259881,134.025822598,0.00177,4.56,23.07,0.72,5070.0
1.0,0.997549533844,0.000163978387718,134.087125412,0.00177,4.56,23.07,0.72,5070.0
