Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,1.00009775162,0.00017458460934,131.512460498,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999852657318,0.000174683591467,131.573763625,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00002002716,0.00017478618247,131.635066751,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999557495117,0.000174626446096,131.696369976,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999923288822,0.000174507615156,131.7576731,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999803960323,0.000174593442352,131.818976224,0.00092,4.61,28.62,0.8,5194.0
1.0,0.99997317791,0.000174691871507,131.880279247,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999871075153,0.000174726839759,131.941582369,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999721884727,0.000174713844899,132.002885491,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00007963181,0.000174913613591,132.064188612,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00004482269,0.000174843342393,132.125491732,0.00092,4.61,28.62,0.8,5194.0
1.0,0.99994379282,0.00017463475524,132.186794851,0.00092,4.61,28.62,0.8,5194.0
1.0,1.0000191927,0.000174637636519,132.24809787,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999940991402,0.000174679851625,132.309400988,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00010156631,0.000174763961695,132.370704105,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00018310547,0.000174526314368,132.432007221,0.00092,4.61,28.62,0.8,5194.0
1.0,0.99959975481,0.000174696848262,132.493310336,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00012052059,0.0001748270588,132.554613451,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999722003937,0.000174756103661,132.615916565,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999934911728,0.000174814471393,132.677219578,0.00092,4.61,28.62,0.8,5194.0
1.0,0.99959307909,0.000174745699042,132.738522691,0.00092,4.61,28.62,0.8,5194.0
1.0,1.0002797842,0.000174728585989,132.799825802,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999734759331,0.000174684406375,132.861128913,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999635696411,0.000174617976882,132.922432023,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00005376339,0.000174758301,132.983735233,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00038206577,0.000174770771991,133.045038241,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00043916702,0.000174827393494,133.106341349,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999895572662,0.000174881512066,133.167644456,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999895453453,0.000174956265255,133.228947562,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999941110611,0.000174996297574,133.290250667,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00011205673,0.000174933229573,133.351553772,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00041258335,0.000174928514753,133.412856876,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00024819374,0.000174925400643,133.474159879,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999954819679,0.000175077773747,133.535462981,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999995648861,0.000174949527718,133.596766082,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00020492077,0.000174997476279,133.658069283,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999898135662,0.000174993692781,133.719372383,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00041818619,0.0001751051459,133.780675481,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00026774406,0.00017504976131,133.84197848,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00019454956,0.00017506495351,133.903281577,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00011658669,0.000174927117769,133.964584673,0.00092,4.61,28.62,0.8,5194.0
1.0,0.999840855598,0.000174906250322,134.025887769,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00010049343,0.000175056644366,134.087190864,0.00092,4.61,28.62,0.8,5194.0
1.0,1.00006508827,0.000175036228029,134.148493958,0.00092,4.61,28.62,0.8,5194.0
