Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,0.996547818184,0.000325433240505,131.512361973,0.00426,4.62,10.98,0.87,5342.0
1.0,0.996656417847,0.000325287808664,131.573664901,0.00426,4.62,10.98,0.87,5342.0
1.0,0.997276544571,0.000325437664287,131.634967829,0.00426,4.62,10.98,0.87,5342.0
1.0,0.997154116631,0.00032539840322,131.696270856,0.00426,4.62,10.98,0.87,5342.0
1.0,0.997520983219,0.000325328990584,131.757573783,0.00426,4.62,10.98,0.87,5342.0
1.0,0.997708678246,0.000325414177496,131.818876709,0.00426,4.62,10.98,0.87,5342.0
1.0,0.997775673866,0.000325459259329,131.880179534,0.00426,4.62,10.98,0.87,5342.0
1.0,0.997917950153,0.000325522036292,131.941482459,0.00426,4.62,10.98,0.87,5342.0
1.0,0.99879181385,0.000325650558807,132.002785382,0.00426,4.62,10.98,0.87,5342.0
1.0,0.998735785484,0.000325762201101,132.064088306,0.00426,4.62,10.98,0.87,5342.0
1.0,0.999492049217,0.00032570087933,132.125391228,0.00426,4.62,10.98,0.87,5342.0
1.0,0.999870598316,0.000325574714225,132.18669415,0.00426,4.62,10.98,0.87,5342.0
1.0,0.999996781349,0.000325448723743,132.247996972,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00051498413,0.000325828557834,132.309299892,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00086796284,0.000325936562149,132.370602812,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00117850304,0.000325861707097,132.431905731,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00212860107,0.000325938279275,132.49320865,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00176608562,0.000326078152284,132.554511568,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00242877007,0.00032606854802,132.615814485,0.00426,4.62,10.98,0.87,5342.0
1.0,1.0031388998,0.000326057575876,132.677117302,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00104856491,0.000325984670781,132.738420217,0.00426,4.62,10.98,0.87,5342.0
1.0,1.0025947094,0.000325832457747,132.799723133,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00332510471,0.000325927161612,132.861026047,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00385606289,0.000325934030116,132.922328961,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00447940826,0.000326120032696,132.983631974,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00512301922,0.000326263019815,133.044934786,0.00426,4.62,10.98,0.87,5342.0
1.0,1.0052703619,0.000326315261191,133.106237698,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00553667545,0.00032633767114,133.167540609,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00548171997,0.000326461100485,133.228843519,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00633299351,0.000326495850459,133.290146429,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00639426708,0.000326623383444,133.351449338,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00633585453,0.000326458830386,133.412752246,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00628125668,0.000326477980707,133.474055054,0.00426,4.62,10.98,0.87,5342.0
1.0,1.0061198473,0.000326608249452,133.53535796,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00715947151,0.000326500827214,133.596660866,0.00426,4.62,10.98,0.87,5342.0
1.0,1.0066587925,0.000326524605043,133.657963872,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00751447678,0.000326566718286,133.719266776,0.00426,4.62,10.98,0.87,5342.0
1.0,1.0081359148,0.000326872454025,133.78056968,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00781047344,0.000326661742292,133.841872483,0.00426,4.62,10.98,0.87,5342.0
1.0,1.0075211525,0.000326532375766,133.903175386,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00762557983,0.000326658017002,133.964478288,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00830197334,0.000326613429934,134.025781189,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00788927078,0.00032681110315,134.087084089,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00753879547,0.000326725916239,134.148386988,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00641393661,0.000326628622133,134.209689887,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00774598122,0.000326643727021,134.270992685,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00737333298,0.000326718203723,134.332295583,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00760829449,0.000326796493027,134.414032778,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00757598877,0.000326655805111,134.475335674,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00767719746,0.000326662528096,134.536638568,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00776100159,0.000326453271555,134.597941463,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00669014454,0.000326805515215,134.659244356,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00700044632,0.000326351466356,134.720547248,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00695228577,0.000326653476804,134.78185004,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00671672821,0.000326611596392,134.843152932,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00606429577,0.000326681503793,134.904455922,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00585639477,0.000326938461512,134.965758811,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00541245937,0.000326797860907,135.0270617,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00594472885,0.000326808512909,135.088364588,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00426387787,0.000326683308231,135.149667476,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00419855118,0.000326502282405,135.210970262,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00404679775,0.000326569454046,135.272273148,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00350666046,0.000326485431287,135.333576033,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00413525105,0.00032659858698,135.394878917,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00272357464,0.000326363515342,135.456181801,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00241136551,0.000326409004629,135.517484683,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00187802315,0.000326501001837,135.578787465,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00170886517,0.000326290872181,135.640090346,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00095844269,0.000326457928168,135.701393227,0.00426,4.62,10.98,0.87,5342.0
1.0,1.001049757,0.000326411362039,135.762696106,0.00426,4.62,10.98,0.87,5342.0
1.0,0.999643623829,0.000326328590745,135.823998985,0.00426,4.62,10.98,0.87,5342.0
1.0,1.00006008148,0.000326296896674,135.885301863,0.00426,4.62,10.98,0.87,5342.0
1.0,0.999237716198,0.000326136592776,135.94660464,0.00426,4.62,10.98,0.87,5342.0
1.0,0.998772442341,0.000326257548295,136.007907516,0.00426,4.62,10.98,0.87,5342.0
1.0,0.998914122581,0.000326312845573,136.069210392,0.00426,4.62,10.98,0.87,5342.0
1.0,0.998104512691,0.000326199864503,136.130513367,0.00426,4.62,10.98,0.87,5342.0
1.0,0.99876087904,0.000326361041516,136.191816241,0.00426,4.62,10.98,0.87,5342.0
1.0,0.998055160046,0.000326086010318,136.253119114,0.00426,4.62,10.98,0.87,5342.0
1.0,0.997373521328,0.000326159468386,136.314421987,0.00426,4.62,10.98,0.87,5342.0
1.0,0.996938467026,0.000326030742144,136.375724758,0.00426,4.62,10.98,0.87,5342.0
1.0,0.996515750885,0.000326064182445,136.437027629,0.00426,4.62,10.98,0.87,5342.0
