Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,1.00674903393,0.000238966822508,131.512723349,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00646781921,0.000238999389694,131.574026811,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00621795654,0.000239180793869,131.635330272,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.0059876442,0.00023911675089,131.696633832,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00639140606,0.000239256114583,131.75793729,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00650560856,0.000239258719375,131.819240748,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00543868542,0.000239243265241,131.880544105,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00528240204,0.00023923147819,131.941847561,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00588464737,0.000239345099544,132.003151016,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00534999371,0.000239363522269,132.06445447,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00530469418,0.000239217028138,132.125757923,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00521862507,0.00023928914743,132.187061375,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00505936146,0.000239350178163,132.248364725,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00454115868,0.000239284257987,132.309668175,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00436878204,0.000239392815274,132.370971624,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00452709198,0.00023927843722,132.432275072,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00529253483,0.000239464105107,132.493578519,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00520682335,0.000239249158767,132.554881964,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00510597229,0.000239407410845,132.616185409,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00463783741,0.000239368135226,132.677488753,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00520062447,0.000239357308601,132.738792195,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00601744652,0.000239197383053,132.800095637,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00618195534,0.000239308486925,132.861399077,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00572788715,0.000239473360125,132.922702517,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00579822063,0.000239510380197,132.984006055,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.0065073967,0.000239628105192,133.045309393,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00646007061,0.000239657470956,133.106612829,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00631010532,0.000239708664594,133.167916264,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00606024265,0.000239694752963,133.229219699,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00653100014,0.000239704182604,133.290523132,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00683748722,0.000239706641878,133.351826564,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00627481937,0.000239463406615,133.413129995,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00638353825,0.000239626839175,133.474433325,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00720894337,0.000239826345933,133.535736754,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00668144226,0.000239798057009,133.597040182,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00624835491,0.000239753353526,133.658343708,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00627863407,0.000239856002736,133.719647134,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00591361523,0.000239705725107,133.780950559,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00576508045,0.000239764893195,133.842253882,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00527095795,0.000239733664785,133.903557305,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00537276268,0.000239692613832,133.964860726,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00484287739,0.000239666725975,134.026164146,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00434947014,0.000239666216657,134.087467566,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00425362587,0.000239712855546,134.148770984,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00338959694,0.00023960082035,134.210074401,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.002784729,0.000239577901084,134.271377716,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00240504742,0.000239617977059,134.332681131,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00154948235,0.000239515051362,134.414419016,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00164973736,0.000239565706579,134.475722428,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00113868713,0.000239392073127,134.537025839,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,1.00052428246,0.000239455475821,134.598329249,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.999486863613,0.00023940319079,134.659632658,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.998449146748,0.000239353277721,134.720936066,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.997843384743,0.000239304674324,134.782239372,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.997353434563,0.000239262197283,134.843542778,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.996231198311,0.000239237153437,134.904846282,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.994828045368,0.000238941749558,134.966149686,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.994453370571,0.000238832450123,135.027453088,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.993297755718,0.000238831242314,135.088756489,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.993165254593,0.000238843611442,135.150059888,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.992391943932,0.00023878851789,135.211363187,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.992066204548,0.000238700129557,135.272666585,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.991404056549,0.000238812572206,135.333969981,0.0058490664,4.47,7.6015049788,0.86,5331
1.0,0.990284383297,0.000238544977037,135.395273376,0.0058490664,4.47,7.6015049788,0.86,5331
